Alignment ID	Average Rt(min)	Average Mz	Adduct type	Fill %	S/N average	MS1 isotopic spectrum	MS/MS spectrum	NC	NC	NC	NC	NC	NC	NC	UC	UC	UC	UC	UC	UC	UC	CS	CS	CS	CS	CS	CS	CS
0	1.625	57.9752	[M-H]-	1	1628.32	57.97437:15116 58.97772:120 59.98108:530	57.97547:53	0.000299328	0.000282414	0.000371071	0.0003263	0.000280025	0.000239219	0.000295551	0.000271483	0.000217441	0.00025779	0.000233765	0.000229386	0.00027456	0.000189853	0.000169289	0.00036537	0.000345163	0.000309315	0.000184126	0.000257758	0.000245819
1	3.195	59.01223	[M-H]-	0.476	581.15	59.01287:4370 60.01622:0 61.01958:0	41.00234:20	9.43121E-05	8.34461E-07	3.9845E-07	3.5397E-05	9.79653E-07	9.85291E-05	5.22018E-07	1.36318E-07	5.64553E-05	8.25458E-05	1.8186E-05	5.97069E-05	6.70519E-05	7.16848E-05	7.68149E-05	1.86591E-07	5.37151E-07	6.7986E-05	6.8376E-05	3.30918E-07	4.11587E-07
2	1.316	59.01342	[M-H]-	0.841	223.38	59.01342:3276 60.01677:0 61.02013:0		2.79395E-05	2.03542E-05	1.96938E-05	3.77798E-05	1.61643E-05	1.86779E-05	2.48246E-05	2.00545E-05	2.0879E-05	2.0519E-05	1.38507E-05	1.7336E-05	2.49769E-05	2.31712E-05	7.28421E-06	2.62989E-05	1.93426E-05	1.11562E-05	1.29709E-05	1.65738E-05	1.42338E-05
3	3.124	59.01408	[M-H]-	0.46	490.97	59.01281:4416 60.01616:61 61.01952:0	41.00026:27	9.44312E-05	0.000132415	4.38364E-05	3.60349E-05	8.71794E-05	9.869E-05	6.98475E-05	6.99102E-05	5.63433E-05	8.2537E-05	2.53411E-05	0	6.68761E-05	7.18032E-05	7.68832E-05	6.0608E-05	8.05649E-05	6.81258E-05	1.36302E-08	9.81313E-05	6.83765E-05
4	3.927	59.0141	[M-H]-	0.016	253.57	59.0141:1685 60.01745:0 61.02081:0		4.76204E-08	3.60199E-08	6.58309E-08	4.37772E-08	3.30876E-07	2.11079E-08	2.87349E-08	2.35935E-08	3.38648E-08	1.54427E-08	8.35496E-08	1.52606E-08	1.10175E-07	1.53652E-07	2.34699E-08	6.83292E-08	2.85443E-08	5.87461E-08	1.17561E-07	9.76807E-08	7.82773E-08
5	24.057	59.98304	[M-H]-	0.016	249.6	59.98304:4119 60.98639:343 61.98975:78304		3.23682E-05	2.7216E-05	0	0	2.91366E-05	0	2.79615E-05	0	0	0	0	2.81303E-06	1.51197E-06	0	0	0	0	0	1.5334E-08	0	0
6	23.29	59.98319	[M-H]-	0.016	370.28	59.98319:7556 60.98654:152 61.9899:191239		2.02897E-05	2.49708E-05	5.58177E-05	1.68167E-05	4.27901E-05	2.12583E-05	5.86576E-05	1.99601E-05	4.64912E-05	2.23611E-05	4.21926E-05	1.1799E-05	0.000242856	1.78866E-05	2.73745E-06	1.01048E-05	0	1.18136E-05	0	0	0
7	23.609	59.98524	[M-H]-	0.016	335.19	59.98524:5549 60.98859:260 61.99195:166926	59.9831:6	1.94087E-05	7.00587E-06	1.86475E-05	7.4265E-06	9.71219E-06	1.51423E-05	5.08369E-06	5.96864E-05	2.31167E-05	1.39293E-05	1.05551E-05	1.09367E-06	1.05252E-06	0	0	0	0	0	0	0	0
8	23.31	61.78464	[M-H]-	0.032	59.43	61.78464:1806 62.78799:0 63.79135:0		2.39462E-06	3.30182E-07	1.91949E-06	1.76985E-06	3.86022E-07	5.56721E-07	3.72596E-06	1.60698E-06	5.22821E-06	2.72233E-06	6.3312E-06	5.18859E-07	4.05303E-06	2.2015E-06	1.88613E-06	1.51376E-06	0	1.6365E-06	0	0	0
9	21.82	61.78535	[M-H]-	0.016	66.64	61.78535:1628 62.7887:414 63.79206:0		3.14941E-05	1.0941E-05	1.74417E-05	1.40713E-05	3.65683E-05	2.50815E-05	2.17883E-05	3.28029E-05	2.04231E-05	3.25798E-05	1.42406E-05	2.01668E-05	3.7729E-05	3.60099E-05	3.46053E-05	2.12951E-05	1.95554E-05	2.50202E-05	3.1985E-05	3.99654E-05	2.70739E-05
