Alignment ID	Average Rt(min)	Average Mz	Adduct type	Fill %	S/N average	MS1 isotopic spectrum	MS/MS spectrum	NC	NC	NC	NC	NC	NC	NC	UC	UC	UC	UC	UC	UC	UC	CS	CS	CS	CS	CS	CS	CS
0	2.866	53.00229	[M+H]+	0.127	13.59	53.00214:1270 54.00549:410 55.00885:0	53.00391:20	1.75983E-05	2.13221E-05	1.15412E-05	1.4655E-05	2.06445E-05	1.63397E-06	8.19942E-06	1.16078E-05	7.60422E-07	1.66048E-05	1.08514E-06	1.89857E-05	1.3064E-05	7.43035E-07	2.04433E-05	2.11198E-05	1.65084E-05	2.36036E-05	1.39433E-06	2.456E-05	1.9348E-05
1	2.791	53.00313	[M+H]+	0.143	13.63	53.00313:1741 54.00648:1191 55.00984:20		1.76424E-06	2.30698E-06	1.03891E-05	1.51142E-06	2.23617E-05	2.42162E-06	2.10775E-06	2.46388E-06	1.75121E-06	1.63309E-05	2.17066E-05	2.61182E-06	2.07802E-06	2.05469E-05	1.87404E-05	2.29352E-05	1.77387E-05	8.58314E-07	1.85421E-05	2.456E-05	1.35735E-05
2	2.952	53.00317	[M+H]+	0.032	23.43	53.00317:1536 54.00652:1029 55.00988:0		1.89349E-05	2.28281E-05	1.4769E-06	8.21706E-07	2.24131E-05	1.64285E-05	7.31376E-06	3.77634E-06	1.63317E-05	6.71506E-06	1.29426E-06	3.72259E-06	1.38365E-05	9.16898E-07	1.0717E-05	1.23568E-06	1.77387E-05	2.4558E-05	8.41945E-06	1.58196E-06	8.99241E-06
3	23.236	53.01281	[M+H]+	0.095	197	53.01284:19818 54.01619:7295 55.01955:60	41.00459:3 53.00542:3	0.000211736	2.56407E-05	5.09404E-05	1.59954E-05	2.03513E-05	0.000145088	0.000172291	0.000145205	0.000253292	0.000228858	0.000293983	0.000353888	0.000185902	0.000166879	0.000120151	0.000248978	0.000238265	0.000250921	0.000331349	0.000279631	0.000187698
4	23.17	53.99777	[M+H]+	0.016	287.88	53.99777:7874 55.00112:570 56.00448:0		0.000117337	8.3773E-05	2.59782E-05	8.37322E-06	1.46552E-05	5.90741E-05	5.56418E-05	6.6466E-05	0.000111397	5.45972E-05	0.000171481	9.51737E-05	4.61817E-05	9.50591E-05	7.87436E-05	0.000113539	0.000139879	0.000129258	7.53712E-05	0.000141075	6.72327E-05
5	15.491	54.00801	[M+H]+	0.032	12.99	54.00801:1920 55.01136:20 56.01472:0		3.11063E-05	5.97103E-05	2.14278E-05	2.04144E-05	2.28186E-05	5.4799E-05	2.47688E-05	2.8036E-05	1.76671E-05	2.34417E-05	2.16539E-05	3.31555E-05	2.5784E-05	3.4273E-05	2.45717E-05	3.65108E-05	2.57053E-05	2.92515E-05	1.8354E-05	3.85578E-05	2.55539E-05
6	13.515	54.00854	[M+H]+	0.175	8.93	54.00854:1677 55.01189:0 56.01525:0		4.91878E-06	2.51074E-05	1.63675E-05	1.76035E-05	2.48595E-05	2.16806E-05	9.09603E-06	8.38378E-06	2.14304E-05	1.3026E-05	3.68496E-06	3.29504E-05	1.60528E-05	1.0128E-05	6.26481E-06	2.62349E-06	2.98395E-06	2.11088E-05	4.49704E-06	2.92301E-05	8.3117E-06
7	14.805	54.00872	[M+H]+	0.016	8.28	54.00872:1391 55.01207:20 56.01543:0		1.39682E-05	1.40597E-05	1.97857E-05	2.08643E-05	1.48894E-05	1.46018E-05	5.39691E-06	1.77545E-05	1.46213E-05	1.36572E-05	1.71004E-05	8.12315E-06	1.07433E-05	2.42127E-06	3.12892E-06	2.20089E-06	3.02396E-06	7.26365E-06	7.62047E-06	2.28211E-06	4.0259E-06
8	16.138	54.0091	[M+H]+	0.079	12.74	54.0091:2076 55.01245:20 56.01581:0		1.41734E-05	2.59877E-05	2.14114E-05	2.18998E-05	1.99058E-05	3.72829E-05	1.29469E-05	3.58241E-06	5.65322E-06	9.44884E-06	2.77766E-05	2.37515E-05	4.41436E-05	2.21154E-05	2.03545E-05	3.50249E-06	2.20779E-05	2.63099E-06	2.51168E-05	2.24031E-05	4.3095E-05
9	15.847	54.00953	[M+H]+	0.19	8.95	54.00953:1999 55.01288:0 56.01624:0		2.41202E-05	1.80738E-05	1.50393E-05	1.97079E-05	1.57708E-05	1.2155E-05	1.9289E-05	4.45161E-06	2.6523E-05	1.19204E-05	2.67216E-05	3.55872E-05	1.45277E-05	2.82957E-05	2.13453E-05	1.04652E-05	1.72036E-05	1.73232E-05	2.04731E-05	1.91687E-05	1.75729E-05
10	16.056	54.00958	[M+H]+	0.206	10.11	54.00958:2036 55.01293:0 56.01629:0		2.64713E-05	3.23956E-05	2.84802E-05	2.873E-05	3.52255E-05	3.72829E-05	2.32979E-05	5.10091E-06	4.78678E-06	3.008E-05	2.76297E-05	2.22605E-05	4.43894E-05	1.6043E-05	3.50989E-05	3.1492E-06	2.19746E-05	1.09003E-05	2.50271E-05	1.71582E-05	4.28244E-05
11	14.956	54.00986	[M+H]+	0.063	11.02	54.00986:1758 55.01321:0 56.01657:0		2.70063E-05	2.40646E-05	1.72202E-05	1.89253E-05	2.92229E-06	1.39499E-05	1.47011E-05	2.64551E-05	2.86147E-05	1.56779E-05	2.71455E-05	3.48042E-05	1.99308E-05	1.42476E-05	1.66388E-05	1.94057E-05	2.38883E-05	1.26874E-05	2.59555E-05	2.09693E-05	2.64521E-05
12	15.597	54.00988	[M+H]+	0.016	8.36	54.00988:1706 55.01323:20 56.01659:0		2.34472E-05	5.83574E-05	2.49404E-05	2.04497E-05	2.46139E-05	5.41237E-05	2.8554E-05	2.3709E-05	1.95956E-05	1.95423E-05	1.79011E-05	4.1071E-05	9.76191E-06	3.06401E-05	2.79043E-05	3.57856E-05	2.69039E-05	1.8465E-05	1.73186E-05	1.77842E-05	1.69505E-05
13	16.344	54.01041	[M+H]+	0.032	10.02	54.01041:1839 55.01376:40 56.01712:0		1.78725E-06	1.93787E-06	2.22805E-06	1.98176E-06	2.50917E-06	1.46973E-06	1.22835E-06	2.54872E-06	1.20281E-06	1.9706E-06	2.80328E-06	2.19428E-05	2.48963E-06	1.31587E-06	3.21424E-06	2.37669E-06	1.06189E-06	1.68941E-06	4.04147E-06	2.91348E-06	2.73874E-06
14	17.783	54.80093	[M+H]+	0.159	263.83	54.80093:2365 55.80428:0 56.80764:0		1.22423E-05	8.33651E-06	9.07368E-06	1.76481E-05	3.45154E-06	3.0132E-06	9.19774E-06	6.29216E-06	0	4.53738E-06	1.70495E-06	0	5.56595E-06	0	6.29615E-06	0	4.55095E-06	1.52783E-05	4.67479E-06	8.82863E-06	0
15	17.779	54.96273	[M+H]+	0.54	291.96	54.96273:4192 55.96608:0 56.96944:0		1.92206E-05	2.01058E-05	1.9773E-05	2.60548E-05	2.40903E-05	1.66279E-05	1.77023E-05	4.71479E-06	2.77258E-06	9.07309E-06	6.84996E-06	0	1.5354E-05	6.62326E-06	1.10235E-05	9.95979E-06	2.65155E-05	1.965E-05	7.80511E-06	2.00452E-05	1.36513E-05
16	1.962	55.05351	[M+H]+	0.19	193.76	55.05244:2164 56.05579:0 57.05915:0	38.01851:13 39.02856:7	4.58319E-07	2.12076E-05	2.0497E-05	4.46175E-07	2.30356E-07	1.31136E-05	1.90464E-05	1.85267E-07	2.38238E-05	1.1356E-07	0	2.05143E-07	1.76746E-05	0	1.04471E-07	8.2153E-07	3.6841E-07	1.93649E-05	1.88096E-07	1.35798E-07	4.77379E-08
