ID	Entry
1	C00001
2	C00025
3	C00002
4	C00014
5	C00026
6	C00064
7	C03287
8	C01165
9	C01879
10	C05829
11	C00624
12	C00217
13	C00334
14	C03618
15	C05723
16	C05931
17	C00051
18	C01045
19	C01046
20	C03912
21	C00669
22	C09332
23	C05167
24	C03153
25	C05928
26	C04305
27	C00415
28	C00439
29	C00449
30	C01047
31	C06112
32	C02320
33	C05711
34	C06114
35	C03541
36	C05595
37	C05929
38	C06462
39	C02987
40	C15699
41	C15767
42	C04138
43	C18006
44	C18008
45	C19152
46	C00876
47	C19151
48	C18802
49	C02166
50	C05574
51	C20775
52	C12270
53	C20776
54	C20843
55	C20926
56	C20948
57	C21015
58	C20995
59	C21559
60	C21539
61	C21620
62	C21664
63	C21622
64	C22033
65	C22053
66	C22139
67	C22140
68	C22314
69	C00042
70	C00011
71	C00013
72	C22366
73	C00020
74	C22367
75	C00328
76	C20961
77	C22427
78	C00819
79	C02671
80	C00135
81	C00388
82	C05130
83	C05135
84	C05127
85	C00398
86	C00780
87	C00643
88	C05634
89	C05647
90	C06212
91	C00978
92	C05659
93	C00079
94	C05332
95	C00601
96	C06746
97	C00073
98	C00855
99	C01180
100	C00047
101	C00739
102	C03239
103	C05161
104	C19720
105	C01672
106	C00022
107	C00078
108	C00065
109	C00463
110	C00331
111	C02700
112	C02693
113	C03230
114	C00977
115	C02983
116	C04290
117	C03506
118	C03512
119	C06732
120	C02937
121	C16831
122	C19687
123	C19716
124	C19767
125	C20563
126	C21124
127	C21283
128	C21865
129	C21866
130	C21892
131	C05235
132	C00067
133	C00009
134	C22142
135	C22145
136	C22162
137	C02218
138	C22391
139	C22392
140	C21601
141	C00525
142	C00049
143	C00036
144	C00041
145	C03082
146	C05840
147	C00152
148	C00438
149	C02512
150	C01042
151	C00099
152	C00122
153	C00402
154	C01044
155	C02715
156	C03139
157	C03794
158	C03406
159	C04540
160	C06113
161	C04823
162	C02984
163	C10733
164	C19710
165	C00441
166	C22224
167	C00008
168	C22395
169	C22388
170	C00006
171	C22380
172	C00169
173	C00940
174	C02716
175	C00352
176	C03090
177	C04148
178	C05939
179	C02282
180	C21785
181	C20966
182	C00082
183	C00355
184	C00822
185	C04796
186	C04797
187	C03758
188	C09642
189	C08543
190	C17758
191	C10447
192	C04045
193	C04043
194	C05604
195	C00037
196	C00168
197	C01005
198	C00979
199	C00740
200	C00097
201	C02934
202	C00542
203	C02291
204	C02737
205	C01162
206	C03872
207	C02553
208	C04771
209	C05699
210	C11822
211	C05821
212	C06481
213	C04377
214	C20466
215	C20628
216	C17355
217	C06735
218	C21568
219	C00010
220	C00229
221	C00189
222	C05820
223	C22390
224	C00062
225	C00077
226	C00086
227	C00327
228	C05945
229	C05933
230	C03078
231	C04137
232	C01682
233	C00581
234	C00179
235	C00792
236	C02993
237	C03296
238	C05340
239	C01201
240	C02163
241	C06655
242	C03771
243	C18473
244	C19713
245	C17349
246	C20330
247	C20910
248	C21099
249	C22264
250	C22265
251	C00021
252	C03884
253	C00860
254	C01152
255	C02997
256	C01929
257	C00386
258	C00785
259	C05575
260	C00884
261	C02988
262	C07474
263	C03298
264	C04556
265	C20993
266	C06419
267	C04092
268	C04076
269	C01028
270	C00990
271	C00680
272	C04020
273	C02727
274	C00408
275	C01142
276	C02837
277	C02444
278	C02728
279	C05341
280	C05552
281	C02427
282	C05892
283	C04211
284	C01931
285	C16140
286	C16489
287	C19723
288	C19889
289	C20277
290	C20278
291	C00450
292	C21160
293	C21730
294	C22137
295	C02265
296	C00166
297	C02505
298	C00826
299	C03519
300	C00423
301	C03511
302	C01456
303	C08301
304	C16075
305	C17235
306	C02135
307	C19714
308	C19712
309	C20487
310	C20488
311	C20579
312	C20807
313	C00003
314	C15606
315	C17210
316	C22315
317	C00012
318	C16690
319	C03933
320	C00033
321	C00019
322	C00032
323	C03172
324	C00155
325	C00409
326	C03145
327	C00109
328	C03354
329	C02989
330	C02430
331	C15999
332	C15998
333	C17234
334	C22529
335	C22345
336	C00030
337	C00080
338	C02745
339	C05524
340	C20446
341	C21407
342	C22150
343	C22154
344	C22159
345	C22160
346	C22344
347	C22236
348	C06181
349	C12455
350	C16565
351	C10773
352	C10783
353	C10772
354	C18158
355	C00954
356	C00637
357	C05834
358	C02938
359	C04197
360	C05835
361	C20635
362	C21619
363	C08313
364	C22202
365	C15489
366	C08493
367	C00007
368	C00718
369	C00103
370	C00760
371	C00965
372	C00046
373	C00454
374	C00066
375	C08250
376	C01518
377	C00663
378	C00124
379	C00094
380	C00123
381	C00183
382	C00199
383	C00341
384	C00362
385	C00404
386	C00407
387	C00536
388	C00541
389	C00562
390	C00934
391	C00991
392	C01022
393	C02307
394	C03024
395	C03185
396	C04728
397	C05172
398	C11524
399	C15585
400	C19967
401	C20237
402	C20967
403	C20969
404	C21511
405	C21512
406	C21570
407	C21572
408	C21574
409	C22083
410	C22232
411	C22234
412	C22267
413	C22271
414	C22458
415	C00483
416	C00547
417	C02916
418	C05587
419	C06160
420	C07307
421	C07304
422	C06546
423	C12231
424	C16707
425	C16704
426	C17755
427	C08557
428	C21584
429	C00148
430	C01157
431	C17366
432	C02174
433	C02308
434	C00017
435	C11481
436	C00215
437	C11477
438	C00095
439	C01355
440	C01134
441	C03688
442	C02474
443	C00259
444	C00031
445	C00369
446	C00721
447	C00270
448	C00339
449	C00347
450	C01674
451	C00461
452	C00496
453	C00145
454	C15588
455	C06023
456	C00734
457	C00759
458	C00185
459	C00267
460	C01935
461	C01335
462	C17628
463	C03597
464	C03806
465	C00092
466	C00105
467	C03106
468	C00416
469	C03121
470	C03186
471	C03531
472	C00027
473	C06016
474	C00181
475	C11552
476	C04546
477	C06215
478	C11215
479	C05358
480	C11525
481	C07331
482	C01328
483	C07300
484	C11549
485	C11550
486	C11551
487	C00159
488	C00464
489	C01187
490	C00338
491	C01494
492	C00420
493	C00137
494	C17207
495	C20650
496	C05198
497	C20684
498	C20988
499	C21118
500	C00147
501	C21121
502	C00208
503	C01898
504	C00071
505	C21300
506	C21451
507	C21450
508	C00209
509	C00028
510	C21644
511	C00252
512	C21660
513	C21681
514	C21686
515	C21687
516	C21689
517	C21690
518	C21693
519	C21694
520	C21695
521	C21698
522	C21700
523	C21701
524	C21708
525	C21709
526	C21710
527	C21715
528	C21744
529	C21770
530	C21812
531	C00133
532	C21923
533	C22043
534	C00638
535	C22084
536	C22092
537	C20297
538	C22109
539	C00301
540	C22174
541	C22185
542	C22186
543	C22187
544	C22188
545	C19647
546	C22231
547	C22235
548	C20176
549	C00755
550	C00024
551	C22268
552	C22269
553	C00294
554	C01417
555	C00087
556	C00126
557	C02490
558	C00475
559	C22302
560	C22219
561	C22320
562	C09871
563	C22325
564	C22326
565	C22327
566	C22329
567	C22331
568	C22374
569	C00069
570	C03339
571	C22400
572	C00162
573	C22404
574	C00059
575	C22407
576	C22330
577	C00160
578	C00197
579	C06509
580	C05775
581	C22421
582	C07295
583	C00343
584	C20300
585	C22460
586	C00218
587	C22464
588	C00005
589	C00004
590	C22500
591	C01450
592	C22525
593	C00706
594	C22526
595	C00040
596	C00048
597	C00072
598	C00083
599	C00088
600	C00108
601	C00138
602	C00156
603	C00187
604	C00230
605	C00249
606	C00288
607	C00340
608	C00377
609	C00509
610	C00533
611	C00544
612	C00568
613	C00640
614	C00662
615	C00683
616	C00698
617	C00766
618	C00974
619	C00999
620	C01000
621	C01107
622	C01324
623	C01352
624	C01371
625	C01579
626	C01711
627	C01785
628	C01847
629	C01864
630	C02188
631	C02244
632	C02557
633	C02679
634	C03227
635	C04350
636	C04475
637	C05243
638	C05359
639	C05412
640	C05579
641	C05755
642	C05965
643	C06068
644	C06070
645	C06793
646	C07054
647	C07097
648	C07292
649	C07447
650	C09244
651	C09263
652	C09804
653	C11675
654	C11882
655	C12115
656	C12126
657	C12145
658	C12483
659	C14812
660	C15498
661	C15503
662	C15509
663	C15510
664	C16001
665	C16257
666	C16700
667	C18083
668	C18237
669	C18329
670	C18357
671	C19610
672	C19678
673	C19693
674	C20145
675	C20152
676	C20153
677	C20379
678	C20683
679	C20753
680	C20829
681	C20832
682	C20850
683	C21418
684	C21420
685	C21425
686	C21490
687	C21505
688	C21527
689	C21567
690	C21719
691	C21722
692	C21731
693	C21738
694	C21832
695	C21850
696	C21853
697	C21888
698	C21889
699	C21897
700	C21918
701	C21921
702	C21922
703	C22008
704	C22014
705	C22050
706	C22051
707	C22079
708	C22124
709	C22146
710	C22165
711	C22170
712	C22178
713	C22205
714	C22206
715	C22228
716	C22282
717	C22285
718	C22286
719	C22321
720	C22323
721	C22333
722	C22334
723	C22343
724	C22349
725	C22352
726	C22383
727	C22419
728	C22420
729	C22423
730	C22425
731	C22463
732	C22516
733	C22517
734	C22520
735	C00213
736	C03790
737	C03508
738	C00177
739	C02055
740	C03961
741	C00188
742	C00430
743	C01419
744	C01586
745	C05380
746	C03290
747	C03710
748	C02718
749	C01259
750	C01242
751	C02564
752	C02412
753	C01921
754	C05466
755	C03838
756	C05464
757	C05596
758	C05729
759	C05951
760	C01326
761	C05598
762	C05519
763	C15809
764	C00820
765	C12317
766	C16623
767	C17323
768	C19813
769	C19838
770	C01026
771	C00719
772	C20784
773	C05678
774	C21016
775	C21573
776	C22361
777	C22362
778	C02043
779	C03626
780	C15532
781	C00091
782	C04593
783	C00311
784	C03174
785	C00232
786	C01118
787	C04479
788	C04421
789	C12836
790	C00163
791	C00613
792	C00615
793	C02000
794	C02099
795	C21672
796	C22281
797	C22300
798	C22494
799	C00283
800	C00491
801	C00606
802	C00506
803	C00793
804	C03125
805	C04352
806	C05556
807	C06751
808	C16518
809	C17237
810	C17238
811	C17262
812	C17935
813	C19691
814	C19703
815	C05824
816	C20817
817	C20994
818	C21437
819	C21486
820	C22385
821	C21487
822	C01888
823	C00100
824	C02876
825	C05983
826	C03652
827	C07123
828	C00146
829	C01179
830	C03004
831	C00811
832	C04368
833	C02839
834	C02515
835	C01392
836	C07027
837	C12461
838	C08565
839	C01060
840	C01468
841	C20800
842	C20983
843	C21308
844	C03765
845	C22021
846	C06420
847	C03564
848	C00763
849	C02702
850	C12470
851	C19706
852	C19781
853	C01015
854	C20656
855	C00134
856	C06366
857	C00555
858	C00436
859	C02723
860	C02714
861	C00315
862	C03002
863	C00612
864	C18172
865	C18326
866	C10497
867	C00515
868	C00986
869	C05730
870	C00750
871	C02567
872	C01029
873	C15853
874	C18069
875	C05665
876	C19669
877	C20560
878	C21010
879	C21009
880	C21170
881	C21169
882	C20885
883	C22004
884	C22069
885	C03712
886	C04210
887	C04322
888	C00437
889	C20951
890	C21680
891	C00320
892	C19692
893	C19033
894	C00342
895	C21440
896	C03574
897	C05658
898	C12312
899	C19837
900	C22207
901	C21289
902	C05644
903	C22006
904	C06213
905	C03470
906	C11817
907	C06535
908	C09209
909	C09089
910	C06536
911	C17203
912	C21762
913	C16562
914	C01252
915	C01717
916	C02946
917	C01035
918	C15987
919	C00254
920	C00642
921	C03964
922	C05350
923	C11527
924	C03198
925	C12456
926	C00633
927	C01455
928	C06730
929	C06677
930	C16401
931	C17467
932	C00090
933	C01403
934	C00548
935	C02734
936	C16200
937	C00805
938	C01407
939	C20726
940	C03210
941	C00886
942	C01212
943	C05688
944	C02999
945	C17950
946	C20942
947	C22147
948	C22363
949	C22364
950	C22091
951	C02442
952	C02717
953	C21634
954	C01962
955	C00084
956	C01102
957	C02992
958	C12147
959	C16594
960	C20641
961	C20915
962	C20917
963	C22386
964	C21976
965	C01043
966	C00300
967	C00192
968	C00887
969	C05361
970	C00125
971	C00697
972	C00136
973	C00246
974	C02527
975	C01771
976	C06435
977	C02445
978	C03634
979	C00671
980	C03127
981	C18680
982	C19491
983	C20310
984	C20802
985	C20963
986	C21092
987	C08511
988	C00233
989	C02710
990	C02486
991	C04335
992	C02047
993	C08262
994	C17255
995	C20964
996	C01570
997	C00141
998	C02787
999	C02554
1000	C03219
1001	C20313
1002	C20965
1003	C20962
1004	C06417
1005	C00016
1006	C00130
1007	C00117
1008	C00212
1009	C00054
1010	C00575
1011	C05993
1012	C00224
1013	C03361
1014	C00498
1015	C06433
1016	C06192
1017	C00857
1018	C00882
1019	C01469
1020	C05921
1021	C04713
1022	C05560
1023	C05686
1024	C16238
1025	C20190
1026	C04058
1027	C21445
1028	C21447
1029	C21877
1030	C21879
1031	C00158
1032	C00196
1033	C00332
1034	C00383
1035	C00391
1036	C01530
1037	C02743
1038	C03401
1039	C04030
1040	C06423
1041	C12107
1042	C15812
1043	C15813
1044	C16241
1045	C20665
1046	C20884
1047	C20952
1048	C21097
1049	C21497
1050	C21645
1051	C21851
1052	C21878
1053	C22073
1054	C22074
1055	C22101
1056	C22132
1057	C22135
1058	C22157
1059	C22158
1060	C22161
1061	C22203
1062	C22211
1063	C22213
1064	C22233
1065	C01010
1066	C01353
1067	C00058
1068	C00603
1069	C07728
1070	C00237
1071	C11150
1072	C00119
1073	C00322
1074	C00748
1075	C01563
1076	C02247
1077	C06178
1078	C06669
1079	C07086
1080	C18244
1081	C21430
1082	C21453
1083	C21488
1084	C21489
1085	C21913
1086	C22072
1087	C22204
1088	C22220
1089	C22278
1090	C22461
1091	C22487
1092	C00039
1093	C00044
1094	C00063
1095	C00074
1096	C00075
1097	C00129
1098	C00201
1099	C00235
1100	C00353
1101	C00448
1102	C00505
1103	C00623
1104	C00677
1105	C00758
1106	C02139
1107	C02147
1108	C02211
1109	C02569
1110	C04217
1111	C05427
1112	C06089
1113	C09315
1114	C11901
1115	C16826
1116	C17627
1117	C19771
1118	C19836
1119	C21499
1120	C21500
1121	C21656
1122	C21873
1123	C21900
1124	C22164
1125	C22209
1126	C22513
1127	C17367
1128	C07044
1129	C00104
1130	C01260
1131	C06197
1132	C00206
1133	C01547
1134	C16426
1135	C02045
1136	C05893
1137	C22459
1138	C05827
1139	C02835
1140	C03277
1141	C16563
1142	C20639
1143	C05548
1144	C08276
1145	C15651
1146	C15650
1147	C17212
1148	C05828
1149	C16564
1150	C20651
1151	C01598
1152	C05635
1153	C08299
1154	C00692
1155	C05825
